skill_name	classification	user_visible	node_source	allowed_agent	referenced_by	depends_on	trigger_cluster	duplicate_of	canonical_candidate	business_criticality	archive_risk	recommendation
pdfkit-py	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,report,tender,contract,document	router.ts:203; skills.yaml:49,54,60; agent.ts:203,390,419,447,527	bash, python	PDF 处理	-	pdfkit-py	4	low	KEEP_OPTIONAL (FOUNDATION)
wpscli	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,document	router.ts:195; agent.ts:212,530	bash, wpscli CLI; WPS_API	云端格式转换	pdfkit-py(部分重叠)	wpscli	2	medium	KEEP_OPTIONAL (FOUNDATION)
tencentcloud-ocr	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,report,tender,contract,document	router.ts:210; skills.yaml:50,55,61; agent.ts:209,392,420,449,529	bash,curl; TENCENTCLOUD_SECRET	OCR	-	tencentcloud-ocr	3	low	KEEP_OPTIONAL (FOUNDATION)
openai-whisper-api	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,office,document	router.md:11; router.ts:190; agent.ts:202,360,526	bash, curl; OPENAI_API_KEY	语音转写	tencent-meeting-skill(中文场景)	openai-whisper-api	3	low	KEEP_OPTIONAL (FOUNDATION)
web-access	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:49; agent.ts:211,493	bash, curl	联网底座	browser-use	web-access	2	low	KEEP_OPTIONAL (FOUNDATION)
browser-use	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:43; agent.ts:184,481	bash, browser-use CLI	浏览器自动化	web-access	browser-use	2	low	KEEP_OPTIONAL (FOUNDATION)
obsidian	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:67; agent.ts:201,491	bash, obsidian CLI	Obsidian 操作	llm-wiki-knowledge	obsidian	2	low	KEEP_OPTIONAL (FOUNDATION)
pptx-generator	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,office,document	router.ts:209; agent.ts:204,361,528	minimax-docx 套件类似	PPT 生成	office-assistant 演示类	pptx-generator	3	low	KEEP_OPTIONAL (FOUNDATION)
石油行业合同知识库	L2_FOUNDATION	no	physical_SKILL_md	none	SKILL.md_self; 审查合同 refs	read; knowledge/templates	合同知识内部支撑	-	石油行业合同知识库	3	low	KEEP_OPTIONAL (FOUNDATION)
信息化建设工具箱	L2_FOUNDATION	no	physical_SKILL_md	none	SKILL.md_self refs: 立项报告,项目周报,写报告,信息化建设	read; knowledge/templates	IT 信息化内部知识库	-	信息化建设工具箱	1	low	KEEP_OPTIONAL (FOUNDATION)
long-document-writing	L3_INTERNAL	no	physical_SKILL_md	xiaoxue,office,document	router.md:13; router.ts:273; agent.ts:221,367,533	office_document	长文档写作	office-assistant	long-document-writing (与 office-assistant 任务模板重叠)	3	medium	MERGE→office-assistant
meeting-minutes-manager	L3_INTERNAL	no	physical_SKILL_md	xiaoxue,office,document	router.md:10; router.ts:183; agent.ts:198,359,523; portable-skills.test.ts:36,79,121,123,125	markitdown-skill; openai-whisper-api	会议纪要	office-assistant 会议纪要任务	meeting-minutes-manager (录音转写保留子流程)	3	medium	MERGE→office-assistant
humanizer	L3_INTERNAL	no	physical_SKILL_md	xiaoxue,office	router.ts:134; agent.ts:192,355	read,write	去AI化润色	office-assistant 润色任务	humanizer	2	high	MERGE→office-assistant
合同台账提醒	L3_INTERNAL	yes	physical_SKILL_md	xiaoxue,contract	router.md:20; router.ts:155; skills.yaml:57; agent.ts:222,449	read,write	合同履约台账	office-assistant 整改清单/工作计划	合同台账提醒	2	high	MERGE→office-assistant
谈判备忘整理	L3_INTERNAL	no	physical_SKILL_md	none	SKILL.md_self refs: 合同对比,合规性检查,石油行业合同知识库,起草合同	read,write	合同谈判备忘	office-assistant 会议纪要	谈判备忘整理	2	high	MERGE→office-assistant
supervision-issue-report	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: supervision-standard	read,write	监督问题汇总	office-assistant 整改清单	supervision-issue-report	2	high	FROZEN_PENDING_BUSINESS_ASSETS (future_role=SPECIALIST, reason=INCOMPLETE_BUSINESS_ASSETS)
supervision-doc-check	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self	read	监督文档核查	geolog-logging-review(部分重叠)	supervision-doc-check	3	high	FROZEN_PENDING_BUSINESS_ASSETS (future_role=SPECIALIST, reason=INCOMPLETE_BUSINESS_ASSETS)
supervision-case-collector	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: supervision-case/supervision-photo/supervision-standard	read,write; knowledge/inspection_cases	监督案例库	-	supervision-case-collector	2	medium	FROZEN_PENDING_BUSINESS_ASSETS (future_role=SPECIALIST, reason=INCOMPLETE_BUSINESS_ASSETS)
supervision-photo-check	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self	read; tencentcloud-ocr	监督照片检查	-	supervision-photo-check	2	high	FROZEN_PENDING_BUSINESS_ASSETS (future_role=SPECIALIST, reason=INCOMPLETE_BUSINESS_ASSETS)
supervision-standard-lookup	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: geology-knowledge (域不同)	read; knowledge/standards	监督标准速查	-	supervision-standard-lookup	2	medium	FROZEN_PENDING_BUSINESS_ASSETS (future_role=SPECIALIST, reason=INCOMPLETE_BUSINESS_ASSETS)
NDA快筛	L3_INTERNAL	no	physical_SKILL_md	none	SKILL.md_self refs: 法条速查,合规性检查,起草合同,审查合同	read	NDA 快筛	审查合同	NDA快筛	2	high	MERGE→审查合同
合同对比	L3_INTERNAL	no	physical_SKILL_md	none	SKILL.md_self refs: 法条速查,合规性检查,审查合同,起草合同,石油行业合同知识库,条款经济影响评估	read	合同对比	审查合同	合同对比	2	high	MERGE→审查合同
合规性检查	L3_INTERNAL	no	physical_SKILL_md	none	SKILL.md_self refs: 法条速查,合同对比,审查合同,起草合同,石油行业合同知识库,条款经济影响评估	read; knowledge/standards	合规审查	审查合同	合规性检查	2	high	MERGE→审查合同
法条速查	L3_INTERNAL	no	physical_SKILL_md	none	SKILL.md_self	read,webfetch	法条检索	-	法条速查	2	high	MERGE→审查合同
条款经济影响评估	L3_INTERNAL	no	physical_SKILL_md	none	SKILL.md_self refs: 合规性检查,合同对比,审查合同,石油行业合同知识库,谈判备忘,条款经济影响	read,bash,python	条款经济量化	-	条款经济影响评估	2	high	MERGE→审查合同
mud-logging-review	L3_INTERNAL	no	physical_SKILL_md	xiaoxue,report	router.md:none direct; router.ts:none direct; agent.ts:215,393	geolog-logging-review(SKILL.md 自描述)	地质录井报告审核(英文版)	geolog-logging-review	geolog-logging-review (canonical 已确定, 本阶段不删除)	2	high	MERGE_CANDIDATE (canonical 保留, 暂不删除) | superseded by Phase 3.0A: DEPRECATED_MIGRATED（SKILL.md 已移至 .opencode/.archive/mud-logging-review/，不再被 discovery 发现）
autoresearch	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,office	router.ts:139; agent.ts:183,354	read,write,bash,python	内容优化	humanizer	autoresearch	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
image-well	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,office,knowledge	router.ts:110; agent.ts:193,357,488	bash,webfetch	图片检索	nano-banana-pro(生成侧)	image-well	2	low	KEEP_OPTIONAL (Phase 3+ 决定)
nano-banana-pro	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,office	router.ts:116; agent.ts:200,359	bash,python	图像生成	image-well(检索侧)	nano-banana-pro	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
prompt-engineering-expert	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,office	router.ts:85; agent.ts:205,362	read,write	提示工程	-	prompt-engineering-expert	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
yourself-skill	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,office,knowledge	router.ts:92; agent.ts:213,364,494	read,write	数字孪生	-	yourself-skill	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
cognitive-profile	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	router.ts:none; agent.ts:none	read,write; xiaoxue_memory	用户画像	-	cognitive-profile	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
fullstack-dev	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:55; skills.yaml:79; agent.ts:187,484	db,schema,code generation	全栈架构	-	fullstack-dev	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
darwin-skill	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:49; skills.yaml:77; agent.ts:185,482	read,write,git	Skill 优化	skill-criticagent	darwin-skill	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
tutor-skills	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:104; skills.yaml:87; agent.ts:210,492	read,write	学习笔记	llm-wiki-knowledge	tutor-skills	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
github	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:61; skills.yaml:83; agent.ts:189,485	bash; GITHUB_TOKEN	GitHub CLI	github-trending-cn	github	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
github-trending-cn	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	xiaoxue,knowledge	router.ts:247; skills.yaml:84; agent.ts:190,486	bash,curl; GITHUB_TOKEN	GitHub Trending	github-ai-trends(僵尸)	github-trending-cn	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
标杆对比	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 立项报告,项目周报,写报告,信息化建设	read,write	IT 选型对比	office-assistant	标杆对比	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
技术选型评审	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 立项报告,写报告	read,write	IT 技术选型	标杆对比	技术选型评审	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
立项报告	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 标杆对比,技术选型评审,写报告	read,write	IT 立项	office-assistant 项目申报任务	立项报告	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
写报告	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 标杆对比,技术选型评审,立项报告,项目周报,领导汇报	read,write	IT 报告	office-assistant	写报告	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
桌面调研	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 立项报告,项目周报,写报告	read,write,webfetch	IT 桌面调研	deep-research	桌面调研	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
方案框架	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 标杆对比,技术选型评审,立项报告	read,write	IT 方案框架	office-assistant 技术方案任务	方案框架	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
项目周报	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 立项报告,项目周报,写报告	read,write	IT 周报	office-assistant	项目周报	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
领导汇报	L4_DISABLED_FOR_XIAOXUE	no	physical_SKILL_md	none	SKILL.md_self refs: 立项报告,项目周报,写报告	read,write	IT 领导汇报	office-assistant 工作汇报任务	领导汇报	1	low	KEEP_OPTIONAL (Phase 3+ 决定)
effect	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	read,write	Effect v4 指南	-	effect	1	low	TRUE_ARCHIVE_CANDIDATE
experiment-design	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	bash,python	实验设计	research-baseline-builder	experiment-design	1	low	TRUE_ARCHIVE_CANDIDATE
research-baseline-builder	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	bash,python	研究基线	-	research-baseline-builder	1	low	TRUE_ARCHIVE_CANDIDATE
giiisp-paper-search-apis	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	bash,curl	论文检索	deep-research	giiisp-paper-search-apis	1	low	TRUE_ARCHIVE_CANDIDATE
papercheck	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	bash,python	论文引用合规	-	papercheck	1	low	TRUE_ARCHIVE_CANDIDATE
manim-agent	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	bash,python	数学动画	practical-course-producer	manim-agent	1	low	TRUE_ARCHIVE_CANDIDATE
practical-course-producer	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	bash,python	实操课程	manim-agent	practical-course-producer	1	low	TRUE_ARCHIVE_CANDIDATE
sci-employee-deep-research	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	webfetch,bash	科研深度研究	deep-research	sci-employee-deep-research	1	low	TRUE_ARCHIVE_CANDIDATE
minimax-pdf	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	minimax-pdf CLI	设计级 PDF 生成	pdfkit-py	minimax-pdf	1	low	TRUE_ARCHIVE_CANDIDATE
skill-criticagent	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	read,write,bash,python	Skill 评估	darwin-skill	skill-criticagent	1	low	TRUE_ARCHIVE_CANDIDATE
mcp-criticagent	L4_TRUE_ARCHIVE_CANDIDATE	no	physical_SKILL_md	none	none	bash,python	MCP 评估	-	mcp-criticagent	1	low	TRUE_ARCHIVE_CANDIDATE
contract-management	ZOMBIE_CLEANED_FROM_ALLOWLIST	n/a	configured_only_skill_id_no_SKILL_md	deny (本阶段已从 agent.ts 与 skills.yaml 移除)	router.md:18 已改为 4 行新路由; router.ts:137 已拆为 4 个细粒度规则; skills.yaml:57 已替换; portable-skills.test.ts:23,80 已改 起草合同; xiaoxue-router.test.ts:39 已改 起草合同	无(目录仅 references/)	合同起草/台账/管理/审批	-	contract-management (保留目录, 不重建 SKILL.md)	1	high	ZOMBIE_CLEANED (保留空目录以备追溯)
github-ai-trends	ZOMBIE_CLEANED_FROM_ALLOWLIST	n/a	configured_only_skill_id_no_SKILL_md	deny (本阶段已从 agent.ts 与 skills.yaml 移除)	router.ts:40 已重定向到 github-trending-cn; skills.yaml:81 已删除	无(目录仅 _skillhub_meta.json + scripts/)	GitHub AI 趋势	github-trending-cn	github-ai-trends (保留目录, 不重建 SKILL.md)	1	high	ZOMBIE_CLEANED (保留空目录以备追溯)
llm-wiki	ZOMBIE_CLEANED_FROM_ALLOWLIST	n/a	configured_only_skill_id_no_SKILL_md	deny (本阶段已从 agent.ts 与 skills.yaml 移除)	router.ts:118 已重定向到 llm-wiki-knowledge; skills.yaml:86 已替换为 llm-wiki-knowledge; portable-skills.test.ts:33 已删除; xiaoxue-router.test.ts:67 已改 llm-wiki-knowledge	无(目录仅 _skillhub_meta.json)	个人 Wiki	llm-wiki-knowledge	llm-wiki (保留目录, 不重建 SKILL.md)	1	high	ZOMBIE_CLEANED (保留空目录以备追溯)
