skill	old_encoding	size_bytes	sha256	frontmatter_name	frontmatter_description	body_chars	has_bom	line_endings	ends_with_newline
humanizer	utf-8	17885	eb2d44bb02d10ec99ed6e57c50ee96f5d66c474df4533eb964def1e0a58c199a	humanizer	"Remove signs of AI-generated writing from text. Use when editing or reviewing text to make it sound more natural and human-written. Detects and fixes patterns including: inflated symbolism, promotional language, superficial analyses, vague attributions, em dash overuse, rule of three, AI vocabulary words, negative parallelisms, and excessive conjunctive phrases."	17161	0	lf	1
image-well	utf-8	4620	f91002f5ada5c7177d1257d184b39271a2eba3eaab06adcb624b5305ca26c067	image-well	"Search and download images from 12 APIs in parallel (Openverse, Pexels, Pixabay, Met Museum, NASA, Rijksmuseum, Wikimedia Commons, Unsplash, Smithsonian, Europeana, Iconify, Pollinations AI). Supports license filtering, presets (military, museum, stock), cached results, and bulk download with metadata sidecars. Triggers on find images, stock photos, public domain artwork, museum images, CC-licensed, NASA photos, icons."	3561	0	lf	1
knowledge-distill	utf-8	3243	7fb5a4f492d34e4e516ae7c062bd71e0c3aefa2edb06c997e18d95ea9606355d	knowledge-distill	Convert authorized Word, PDF, Excel, standards, rules, reports, and notes into evidence-preserving knowledge cards. Use when the user asks to 蒸馏知识、总结规范并入库、把资料整理进知识库、提取可追溯事实、识别资料冲突或建立知识卡片. Do not use for ordinary knowledge questions, Wiki link maintenance, or professional final conclusions.	1340	0	lf	1
llm-wiki-knowledge	utf-8	2215	19f3dffca1ce8e18b5503ded4cd915b0daf9f5da2df2bf0ccf7ae7297c70ff1e	llm-wiki-knowledge	LLM Wiki 知识管理专家。用于把原始制度、标准、报告、会议纪要和专业资料编译为可追溯 Markdown Wiki，执行增量更新、双向链接、矛盾标注、知识查询和健康巡检；当用户点名“LLM Wiki”“知识编译”，或要求初始化 Wiki、灌入资料、检查孤立页/过时内容/矛盾时使用。	981	0	crlf	1
long-document-writing	utf-8	2012	1e966123543e00a808cb203aee33bd936dae3a31392416725df34a6ce7da186c	long-document-writing	长文档写作与改稿专家。用于长篇报告、白皮书、项目申报、技术方案、培训材料和多章节手稿的结构规划、分段写作、续写、扩写、重写、统一文风与交付质检；当用户点名“长文档专家”或要求处理长稿、多章节、万字材料时使用。	674	0	crlf	1
manim-agent	utf-8	6596	dba784a78b1da6784eb89adbf32e93cf234c1098c779ae6d33d08ede04c8af5c	manim-agent	>-	5623	0	mixed	1
markitdown-skill	utf-8	3646	47aee272f21a1457a44bfb07fb6a715d4b6f41d16f642fa53eb655ef22468631	markitdown-skill	"Convert documents to Markdown using Microsoft's MarkItDown CLI (`markitdown`). Supports PDF, Word, PowerPoint, Excel, images (OCR), audio (transcription), HTML, YouTube, and URLs. Use when a user wants to convert a file or URL to Markdown, extract text from PDFs/images, transcribe audio/video, or batch-convert documents."	2532	0	lf	1
material-organizer	utf-8	15417	525471cdaa7d4b0d3618c86577c845d6052bf32c48874ed70a05c5856e7edb0c	material-organizer	|	7044	0	lf	1
mcp-criticagent	utf-8	4468	0a1b70825aa559cbf5aa5f477ddb25f65af41ff95e0a2263869057a853ac0938	mcp-criticagent	Evaluate MCP (Model Context Protocol) servers and tools end to end — deploy from a GitHub URL or npm package, test protocol communication and tool calls, run AI-generated smart tests, and score repository sustainability and popularity. Use this skill whenever the user wants to test, evaluate, audit, score, or vet an MCP server, MCP tool, or MCP package, or asks "does this MCP work" or "is this MCP any good", even if they only paste a GitHub URL or a package name.	3725	0	mixed	1
meeting-minutes-manager	utf-8	5126	c7a31e68ea4c05b1b21007d92f0946deece5a298fa377b7a92a78eb4edb11546	meeting-minutes-manager	>-	2179	0	lf	1
minimax-docx	utf-8	16011	4fbc2717a8c522dc01ad8d27b07cd4e274f65d77db5d1f6f0fbccce2f8ea35cb	minimax-docx	>	14486	0	lf	1
minimax-pdf	utf-8	8816	eabb206b6304cce87875d4063de19f60af2861bad1d36a58cfa16c5d1e71754b	minimax-pdf	>	7733	0	crlf	1
minimax-xlsx	utf-8	8604	bd61bea365398b38440f4b805ca859973c349fe75aa0cd55c044fb1238e095c7	minimax-xlsx	"Open, create, read, analyze, edit, or validate Excel/spreadsheet files (.xlsx, .xlsm, .csv, .tsv). Use when the user asks to create, build, modify, analyze, read, validate, or format any Excel spreadsheet, financial model, pivot table, or tabular data file. Covers: creating new xlsx from scratch, reading and analyzing existing files, editing existing xlsx with zero format loss, formula recalculation and validation, and applying professional financial formatting standards. Triggers on 'spreadsheet', 'Excel', '.xlsx', '.csv', 'pivot table', 'financial model', 'formula', or any request to produce tabular data in Excel format."	7500	0	lf	1
mud-logging-report-generation	utf-8	2501	bc54543a99883171fc0e84567aac393f0f25972e4332c959dcc93789a7825d07	mud-logging-report-generation	Draft or structure mud logging reports, geological summaries, well completion logging reports, daily summaries, and technical review notes. Use when the user asks to write, generate, polish, or outline 录井报告, 地质总结, 完井报告, 日报, or 综合解释 conclusions.	861	0	crlf	0
nano-banana-pro	utf-8	2034	0cc2f6b3424decdaa645e6206747a9f9abaef78dfed60f64aea5c8c79660c146	nano-banana-pro	"Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image."	1585	0	lf	1
obsidian	utf-8	2707	da1c9a697fbd7cce6fbfd9aa5f96963097cb0aebb80c32a5541d1b279e4a3552	obsidian	"Work with Obsidian vaults (plain Markdown notes) and automate via obsidian-cli."	1945	0	lf	1
office-assistant	utf-8	7362	a492753dcd59736d91f4b386ab6022f35d3044f8a6b91c6c94d81e1426ce32a3	office-assistant	Use when the user asks for company daily office work including 工作总结、工作汇报、会议纪要、整改清单、工作计划、技术方案、项目申报、科研材料、制度查询结果整理、Excel 汇总或 Word 材料润色。	3219	0	crlf	1
openai-whisper-api	utf-8	991	b299022b7d20bc811c9423ef0a1b14b05a92dd0ea7aa433544d4e4c12834f177	openai-whisper-api	"Transcribe audio via OpenAI Audio Transcriptions API (Whisper)."	663	0	lf	1
papercheck	utf-8	5273	c6eb5fa37e0a54e3d5121927c60d6ec40a38fffe49a31c9cf8245f420328846c	papercheck	Run no-key citation audits for academic papers using local evidence extraction, bundled TaShan-PaperChecker rules, and the current Codex model. Use when Codex needs to check .docx论文引用合规、正文引文和参考文献是否匹配、引用真实性、引文与上下文相关性、GB/T 7714 or UCAS reference-format issues, or when the user mentions PaperCheck, TaShan-PaperChecker, citation compliance, reference audit, citation authenticity, or 引文核验.	4741	0	crlf	1
pdfkit-py	utf-8	42008	dcbc17625d8e277e0cdd7f9317c7205c4e91f290c40182cdb402ebc6e941da4b	pdfkit-py	仅用于对已存在的 .pdf 文件进行处理（读取/提取/编辑/合并/拆分/转换/水印/加密/OCR/表单/签名）。当且仅当用户输入或工作区中存在 .pdf 文件，且操作对象是该 PDF 时使用。不处理 docx/xlsx/pptx/html/md/txt/图片等非 PDF 文件，不承担论文写作、文本润色、内容创作、项目管理、文档排版咨询等任务。	30255	0	mixed	1
pptx-generator	utf-8	3836	2d050eddab7df406b3e1f283ec44a435217f2f0273e1524a31428d8edbbb20fa	pptx-generator	专业 PPT 生成器。11 种幻灯片类型、5 套配色、图表/表格/时间线/图片支持。JSON 驱动，生成标准可编辑 PPTX。PPT、幻灯片、演示文稿、PowerPoint。	2320	0	mixed	1
practical-course-producer	utf-8	13029	48ba11bd7e92257a6677552007f7db3e5dd039948e77c48f4c37d1c25af2e50b	practical-course-producer	Generate and audit evidence-based practical course videos for executable software, research-tool, or AI-assisted workflows with observable real interaction and verification. Use when a user needs a publishable hands-on tutorial built from genuine terminal, browser, or tool operation, narration, demonstrations, corrections, and checks instead of simulated output. Route concept-only animation, formula, or proof explainers to manim-agent.	12256	0	mixed	1
prompt-engineering-expert	utf-8	1968	03ecba787f205268f9a2ac5894d9eb93c35cab456bf77fe025425936b099b0b6	prompt-engineering-expert	Advanced expert in prompt engineering, custom instructions design, and prompt optimization for AI agents	1456	0	lf	1
research-baseline-builder	utf-8	14470	4f3b273d27606355daf4349837a32b844c2311316fbaeb67cceac2c0c44356ac	research-baseline-builder	Translate scientific questions into clear data inputs, outputs, and baseline workflows. Use when Codex needs to help researchers clarify what data goes in, what target or result should come out, how samples/labels/features are defined, and how to solve the resulting data problem through visualization, preprocessing, baseline design, training, evaluation, and reporting.	11911	0	crlf	1
sci-employee-deep-research	utf-8	10241	a6473c4d91d492425ff5599c662e4897519692eed54658f95b9bbc5d4bd0693e	sci-employee-deep-research	调用或模拟 Deep Research 流程，把论文检索、关键词拆解、候选证据和最终 answer 组织成可核验研究报告。适用于赛题讲解、开题调研、方案依据整理。	6291	0	mixed	1
skill-criticagent	utf-8	8469	20715567a9c0d01bc0b1abca9bfdc6f0012efefff5c9804978a5137e077edd83	skill-criticagent	Evaluate Agent Skills (SKILL.md directories) and answer "is this skill any good / safe to install" — spec compliance with security scanning, with/without behavior comparison, and description trigger testing, ending in a clear install / fix-first / reject verdict. Use this skill whenever the user asks to evaluate, audit, test, review, or score an Agent Skill or a skill collection, wants to know whether a skill actually helps or is safe, or wants to check if a skill's description triggers correctly, even if they just ask "is this skill any good".	7491	0	crlf	1
supervision-case-collector	utf-8	2691	df27f2cae83b032d8611f783ab530a7290cf78a0a3f1eda96738052e097e5b3f	supervision-case-collector	监督检查案例入库与检索。当用户要求把新发现的检查问题存入案例库、整理历史问题项、或按关键词/单位/类别查找类似历史案例时使用。维护 knowledge/inspection_cases 的案例卡与索引，支撑案例库持续丰富和快速调用。	996	0	lf	1
supervision-doc-check	utf-8	2816	a4c06f63e45db04a0d54efe9215e6e7cb6e007ebd0dfc3c82d1d5e31c2022fc0	supervision-doc-check	地质交底与录井策划文档核查。当用户提供地质交底、录井策划等格式相对固定的文档，要求对照单井地质设计排查基础数据准确性（井号、井型、井深、地理位置、区域资料等）、检查格式规范性、或按模板起草此类文档时使用。	962	0	lf	1
supervision-issue-report	utf-8	2939	d8b21dd07ea5dddc79a899bb580e40605253220b25bcfbb8004cadb03ed1bc82	supervision-issue-report	检查问题汇总统计与通报生成。当用户要求整理当日/当期检查出的问题、按单位和小队归类生成问题汇总表、做统计分析、或起草监督检查通报时使用。输入为案例卡、问题清单或口述问题，输出问题汇总表和通报文档初稿。	1076	0	lf	1
supervision-photo-check	utf-8	2863	36c562ae31ecb72abf9402cb4022bdb5d2bc34ed562112981872776c3a1f521c	supervision-photo-check	现场检查照片对照检查（看图说话）。当用户提供设备安装、传感器布置、井控设施、资料记录等现场照片，要求对照标准找出不规范之处时使用。输出每条问题的四要素：问题位置、具体表现、违反的标准条款、原因与整改建议。	977	0	lf	1
supervision-standard-lookup	utf-8	2539	f12b9dd97484057bb55465eaee7bd496512f9c0d6758ed6772abae7d5b11ef01	supervision-standard-lookup	监督检查标准条款速查。当用户描述现场发现的问题、询问"违反了哪条标准"、要求给出标准依据、或需要生成规范性的检查意见/整改要求表述时使用。基于 knowledge/standards 已登记的标准与条款卡检索，输出问题→条款→规范性描述的三段式结果。	904	0	lf	1
tencent-esign-contract	utf-8	12053	65054908919602b9d11a8217713a668454b4197fb86cff4cbb190dee94c83aca	tencent-esign-contract	"腾讯电子签合同AI助手，支持合同起草、签署、审查、对比、法条法规检索。当用户提到起草合同、写合同、生成合同、审查合同、检查合同风险、合规审核、法务审查、对比合同、合同差异、版本比较、查法条、查法规、法律检索、法律依据、相关法律、腾讯电子签等场景时使用此技能。即使用户只是说「帮我写份合同」「发合同」「签合同」「这份合同有没有问题」「两版合同有什么区别」「这个条款有什么法律依据」「劳动法怎么规定的」等口语化表达，也应触发本技能。"	5550	0	lf	1
tencent-meeting-skill	utf-8	16487	3540d2ad04ab2801c4a2d151133f99870de0fa0c57145f59d9eac7ca5455f379	tencent-meeting-skill	腾讯会议：会议管理与音视频协作助手。预约/创建/修改/取消会议、查询会议详情与会议号转换、查看参会成员/受邀人/等候室成员、查询用户会议列表（即将开始/进行中/已结束）、查询录制列表与下载地址、获取转写全文/段落/搜索、获取AI智能纪要（支持多语言翻译）、录制权限申请（预览+提交两步流程）、时间转换与版本检查、Agent意见箱反馈上报。当用户需要预约或管理腾讯会议、查看参会人员、查询会议录制或转写内容、获取智能纪要时使用；当用户访问录制相关内容（下载地址/转写/智能纪要）出现无权限错误时，自动发起录制权限申请流程；当Agent遇到以下任何情况时必须立即触发submit_feedback：工具缺失（功能不存在）、工具报错（返回错误码）、能力不足（参数/功能限制）、结果不符预期（数据异常）、改进建议（功能优化）；如果用户提供的是9位会议号而非meeting_id，优先使用get_meeting_by_code转换后再操作。不要在以下场景触发：日程管理（非腾讯会议日程）、即时通讯/聊天、腾讯文档操作、企业微信审批流程、电话/PSTN拨号、视频剪辑或视频编辑、其他视频会议平台（Zoom/Teams/飞书/钉钉）。	7794	0	mixed	1
tencentcloud-ocr	utf-8	7373	3743867d83ee4b0feaf6061fc48aa5362b1440e449776877c48983b8b22ccff2	tencentcloud-ocr	腾讯云通用文字识别（高精度版）(GeneralAccurateOCR) 技能包。当用户发送/粘贴图片、提供图片URL、或要求识别图片中的文字时，应自动调用此技能。支持图像整体文字的检测和识别，支持中文、英文、中英文、数字和特殊字符号的识别，并返回文字框位置和文字内容。适用于文字较多、版式复杂、对识别准召率要求较高的场景，如网络图片、街景店招牌、法律卷宗、多语种简历等场景。支持图片Base64和URL两种输入方式，同时支持PDF文件识别和单字信息返回。对于简历识别场景，提供专门的结构化解析指引（详见 references/resume-parsing.md）。	3613	0	mixed	1
tender-bid-generation	utf-8	3092	78750fe81b153a642d2a3a5d3a9fd08ac6a7798fb1c195f8f2c3a1f012b919d8	tender-bid-generation	Generate evidence-grounded bid response plans and section drafts from a confirmed tender requirement matrix and authorized company materials. Use when the user asks to 写标书、生成投标文件、编制投标响应、生成技术标/商务标草稿 or create chapters for a bidder. Do not use for tender-side procurement documents or for independent compliance review.	1170	0	lf	1
tender-document-review	utf-8	2745	cfee689e0a75fecd2a2ec5e18fe684db015a910da3714e5647e9f0bd17e95e06	tender-document-review	Analyze and review oilfield mud logging, drilling, geoscience, and technical service tender documents. Use when the user asks to parse, summarize, audit, or respond to 招标文件, 招标公告, 评分办法, 技术规范, 投标文件, or bid compliance requirements.	1021	0	crlf	0
tender-management	utf-8	6495	67ebd343e71429e63e5eec2e11b7da793cc6c40d6779e0c29bba52daf052cb2c	tender-management	>-	2660	0	lf	1
tutor-skills	utf-8	3576	8881ac458272a14895270f42147a1444cd191fbd7402a988977d28f47d5353a7	tutor-skills	"Turn PDFs, docs, and codebases into Obsidian StudyVaults with structured notes, then quiz yourself with concept-level progress tracking. Use when users want to study documents, create study materials from files, generate practice questions, or track learning mastery."	2737	0	lf	1
web-access	utf-8	18077	febda57d1b9867d0b7f98c223ba6e71080c10353fc42b62897f2b305cd89e0bc	web-access	所有联网操作必须通过此 skill 处理，包括：搜索、网页抓取、登录后操作、网络交互等。 触发场景：用户要求搜索信息、查看网页内容、访问需要登录的网站、操作网页界面、抓取社交媒体内容（小红书、微博、推特等）、读取动态渲染页面、以及任何需要真实浏览器环境的网络任务。	8537	0	mixed	1
well-control-risk-assessment	utf-8	2825	c1ba495055a5e616f9ce34e3c05377fba5785b9d894c04883220f55c4e6304dc	well-control-risk-assessment	Assess well control and mud logging safety risks from gas readings, flow changes, pit volume, outlet tank status, drilling parameters, and field observations. Use when the user asks about 井控风险, 溢流, 井涌, 气侵, 井漏, 出口槽, 缓冲罐, ECRI, or drilling safety alerts.	1034	0	crlf	0
wpscli	utf-8	22433	1c36ff96e9c01bd9f4ae8786707c2ae4ee8c5e8780f57cc7c12fd32d71b034a8	wpscli	"用 wpscli 云端处理 PDF/Office/CAD/图片。用户说转/转为/转成/转换，或pdf合并/拆分/加密/解密/插入/删除第N页/压缩/去水印/修复/读取，或下列整句时使用： 将这个文件转/转为/转成/转换成Word/Excel/PPT/PDF/图片/长图/HTML/CAD，将这个PDF与Word/Excel/PPT互转， 将这个CAD转成图片，将这个word/ppt转换成长图，将扫描件转成可搜索PDF，把图片OCR转成文字或其他格式，其他格式转成Excel或Word； pdf合并，pdf文件合并，合并这几个文件，将这几个PDF文件合并，将这几个pdf文件合并成一个，把这几个PDF合并成一个文件，把多个PDF合成一个， pdf文件拆分，拆分/拆开这个PDF，从第N页开始拆，把这个pdf从第N页开始拆分，拆分这个pdf文件，只要第N页，只要第N到第M页，按页拆开， 删掉/删除这个文件的第N页，删掉/删除这个pdf文件的第N页，删掉/删除第N页，pdf删除/删掉第N页，pdf文件插入，插入一页， pdf文件压缩/优化，压缩或优化这个PDF，缩小PDF体积，把PDF压小一点，给PDF加密，为这个pdf文件加密，给这个文件加密码，去掉密码，解除PDF密码，去掉打开密码， 删除水印，去除这个pdf文件的水印，去pdf水印，pdf修复，修复损坏的pdf，修复打不开的PDF， 读取这个PDF的内容或信息，看一下PDF有多少页。"	12581	0	mixed	1
yourself-skill	utf-8	14161	263006e149a287bc5f1f223d6d1eef3520d2599a5310d5f59050c49502f9c836	yourself-skill	"Distill yourself into an AI Skill. Deconstruct chat history, diaries, social media, and photos into a runnable digital self with persona and memory models. Use when user wants to create a digital twin, self-reflection mirror, or personal knowledge archive."	9631	0	lf	1
yourself-skill/selves/example_me	utf-8	10419	9ea7fa3bb47211330ae5662d269e28bbdb2bc6ed14417c904dba4e7127ad67b3	example_me	小北（示例），25岁，产品经理，上海	4281	0	lf	1
信息化建设工具箱	utf-8	5900	77a1881ad63f7e3123fa07a15d02d430b83705ed650916962c08a10308ea2961	信息化建设工具箱	"Internal knowledge base for oil & gas IT project management"	2673	0	crlf	1
写报告	utf-8	20298	b6b34d79313185e96ff55a687fd45ae6cfe7bfeab7f7d13b0b8f4ac5709d9912	写报告	"Write IT project reports for oil & gas informationization"	9200	0	crlf	1
合同台账提醒	utf-8	10030	1e6b5244fbf062db973ce6cab7f424d8414350f70f096a2f6e92c8f8429301c8	合同台账提醒	>	4301	0	crlf	1
合同对比	utf-8	11096	3c0fac4a634cf1fbfd9b2e5d11b213098ed0a5d28609f38bb78470d86cb3f9b2	合同对比	>	4540	0	crlf	1
合规性检查	utf-8	13822	011781e54794e640d4324389aa70f804d20c36bc28a9727eac8f667ded73be5a	合规性检查	>	5952	0	crlf	1
审查合同	utf-8	16297	ffc3fdbfe329716940c79d9c37f2aed0b8f8436705b949637c667126a348d22f	审查合同	>	6505	0	crlf	1
技术选型评审	utf-8	13923	ddd09ab1acc219aebe8f91796a43a607282f790f40335d6c5eef4264ff2cbe28	技术选型评审	"Conduct technical evaluation and vendor selection for oil & gas IT projects"	6315	0	crlf	1
方案框架	utf-8	19569	41ed730719ab2118ce47b134a9fd9b4f851474a3945b5c7b59a05a3a07b63d4c	方案框架	"Design IT project proposal frameworks for oil & gas informationization"	8966	0	crlf	1
条款经济影响评估	utf-8	13323	8c5970eb4e21808a1272d51362aec65c6a0db96640758f76fb1b35a3c6365012	条款经济影响评估	>	5685	0	crlf	1
标杆对比	utf-8	12851	f8d67052df5cba1ef04e387fd5e0e54349660ef0f4287c6da1e32b0f3b4e0f43	标杆对比	"Compare technical solutions and vendors for oil & gas IT projects"	5748	0	crlf	1
桌面调研	utf-8	18183	7b7c1e2cc08a299e50c2bfe07533baa4f114169ae34d50a62026790f24c69bb6	桌面调研	"Conduct desk research on oil & gas IT and smart oilfield technologies"	7773	0	crlf	1
法条速查	utf-8	10885	b8e8b86a76dea19606f660fcf823aea46c420a091bd461bbc59b6667e8f899cf	法条速查	>	4469	0	crlf	1
石油行业合同知识库	utf-8	26222	24b83012bfa0d40dc5c0c80004d07196e369ff0153ca1455da8b87f5aa3240fb	石油行业合同知识库	>	11664	0	crlf	1
