reference_id	source	line	status
nano-banana-pro	packages/opencode/src/agent/xiaoxue-router.ts	88	discovered
markitdown-skill	packages/opencode/src/agent/xiaoxue-router.ts	94	discovered
material-organizer	packages/opencode/src/agent/xiaoxue-router.ts	100	discovered
office-assistant	packages/opencode/src/agent/xiaoxue-router.ts	106	discovered
autoresearch	packages/opencode/src/agent/xiaoxue-router.ts	112	discovered
llm-wiki-knowledge	packages/opencode/src/agent/xiaoxue-router.ts	118	discovered
geolog-logging-review	packages/opencode/src/agent/xiaoxue-router.ts	125	discovered
tencent-esign-contract	packages/opencode/src/agent/xiaoxue-router.ts	131	discovered
起草合同	packages/opencode/src/agent/xiaoxue-router.ts	137	discovered
起草合同	packages/opencode/src/agent/xiaoxue-router.ts	143	discovered
合同台账提醒	packages/opencode/src/agent/xiaoxue-router.ts	149	discovered
审查合同	packages/opencode/src/agent/xiaoxue-router.ts	155	discovered
tender-management	packages/opencode/src/agent/xiaoxue-router.ts	161	discovered
tencent-meeting-skill	packages/opencode/src/agent/xiaoxue-router.ts	167	discovered
office-assistant	packages/opencode/src/agent/xiaoxue-router.ts	174	discovered
openai-whisper-api	packages/opencode/src/agent/xiaoxue-router.ts	180	discovered
wpscli	packages/opencode/src/agent/xiaoxue-router.ts	187	discovered
pdfkit-py	packages/opencode/src/agent/xiaoxue-router.ts	193	discovered
tencentcloud-ocr	packages/opencode/src/agent/xiaoxue-router.ts	200	discovered
pptx-generator	packages/opencode/src/agent/xiaoxue-router.ts	206	discovered
minimax-xlsx	packages/opencode/src/agent/xiaoxue-router.ts	212	discovered
minimax-docx	packages/opencode/src/agent/xiaoxue-router.ts	219	discovered
deep-research	packages/opencode/src/agent/xiaoxue-router.ts	225	discovered
aihot	packages/opencode/src/agent/xiaoxue-router.ts	231	discovered
github-trending-cn	packages/opencode/src/agent/xiaoxue-router.ts	237	discovered
document-review-tracked	packages/opencode/src/agent/xiaoxue-router.ts	244	discovered
document-review-tracked	packages/opencode/src/agent/xiaoxue-router.ts	251	discovered
document-review-tracked	packages/opencode/src/agent/xiaoxue-router.ts	257	discovered
office-assistant	packages/opencode/src/agent/xiaoxue-router.ts	269	discovered
llm-wiki-knowledge	packages/opencode/src/agent/xiaoxue-router.ts	276	discovered
geolog-logging-review	packages/opencode/src/agent/xiaoxue-router.ts	282	discovered
tender-document-review	packages/opencode/src/agent/xiaoxue-router.ts	289	discovered
审查合同	packages/opencode/src/agent/xiaoxue-router.ts	296	discovered
geology-knowledge	packages/opencode/src/agent/xiaoxue-router.ts	303	discovered
geology-knowledge	packages/opencode/src/agent/xiaoxue-router.ts	310	discovered
mud-logging-report-generation	packages/opencode/src/agent/xiaoxue-router.ts	316	discovered
office-assistant	packages/opencode/src/agent/xiaoxue-router.ts	323	discovered
office-assistant	packages/opencode/src/agent/xiaoxue-router.ts	344	discovered
geolog-logging-review	configs/xiaoxue/router.md	7	discovered
geolog-logging-review	configs/xiaoxue/router.md	8	discovered
office-assistant	configs/xiaoxue/router.md	9	discovered
office-assistant	configs/xiaoxue/router.md	10	discovered
openai-whisper-api	configs/xiaoxue/router.md	11	discovered
tencent-meeting-skill	configs/xiaoxue/router.md	12	discovered
office-assistant	configs/xiaoxue/router.md	13	discovered
document-review-tracked	configs/xiaoxue/router.md	14	discovered
tender-document-review	configs/xiaoxue/router.md	15	discovered
tender-management	configs/xiaoxue/router.md	16	discovered
审查合同	configs/xiaoxue/router.md	17	discovered
起草合同	configs/xiaoxue/router.md	18	discovered
起草合同	configs/xiaoxue/router.md	19	discovered
合同台账提醒	configs/xiaoxue/router.md	20	discovered
审查合同	configs/xiaoxue/router.md	21	discovered
tencent-esign-contract	configs/xiaoxue/router.md	22	discovered
geology-knowledge	configs/xiaoxue/router.md	23	discovered
deep-research	configs/xiaoxue/router.md	24	discovered
aihot	configs/xiaoxue/router.md	24	discovered
github-trending-cn	configs/xiaoxue/router.md	24	discovered
llm-wiki-knowledge	configs/xiaoxue/router.md	25	discovered
mud-logging-report-generation	configs/xiaoxue/router.md	26	discovered
pdfkit-py	configs/xiaoxue/router.md	27	discovered
minimax-docx	configs/xiaoxue/router.md	27	discovered
minimax-xlsx	configs/xiaoxue/router.md	27	discovered
pptx-generator	configs/xiaoxue/router.md	27	discovered
tencentcloud-ocr	configs/xiaoxue/router.md	27	discovered
wpscli	configs/xiaoxue/router.md	27	discovered
geolog-logging-review	configs/xiaoxue/skills.yaml	5	discovered
office-assistant	configs/xiaoxue/skills.yaml	10	discovered
tender-document-review	configs/xiaoxue/skills.yaml	15	discovered
审查合同	configs/xiaoxue/skills.yaml	20	discovered
geology-knowledge	configs/xiaoxue/skills.yaml	25	discovered
mud-logging-report-generation	configs/xiaoxue/skills.yaml	31	discovered
aihot	packages/opencode/test/xiaoxue/portable-skills.test.ts	20	discovered
autoresearch	packages/opencode/test/xiaoxue/portable-skills.test.ts	21	discovered
browser-use	packages/opencode/test/xiaoxue/portable-skills.test.ts	22	discovered
起草合同	packages/opencode/test/xiaoxue/portable-skills.test.ts	23	discovered
darwin-skill	packages/opencode/test/xiaoxue/portable-skills.test.ts	24	discovered
deep-research	packages/opencode/test/xiaoxue/portable-skills.test.ts	25	discovered
fullstack-dev	packages/opencode/test/xiaoxue/portable-skills.test.ts	26	discovered
geolog-logging-review	packages/opencode/test/xiaoxue/portable-skills.test.ts	27	discovered
github	packages/opencode/test/xiaoxue/portable-skills.test.ts	28	discovered
github-trending-cn	packages/opencode/test/xiaoxue/portable-skills.test.ts	29	discovered
image-well	packages/opencode/test/xiaoxue/portable-skills.test.ts	30	discovered
markitdown-skill	packages/opencode/test/xiaoxue/portable-skills.test.ts	31	discovered
material-organizer	packages/opencode/test/xiaoxue/portable-skills.test.ts	32	discovered
minimax-docx	packages/opencode/test/xiaoxue/portable-skills.test.ts	33	discovered
minimax-xlsx	packages/opencode/test/xiaoxue/portable-skills.test.ts	34	discovered
nano-banana-pro	packages/opencode/test/xiaoxue/portable-skills.test.ts	35	discovered
obsidian	packages/opencode/test/xiaoxue/portable-skills.test.ts	36	discovered
openai-whisper-api	packages/opencode/test/xiaoxue/portable-skills.test.ts	37	discovered
pdfkit-py	packages/opencode/test/xiaoxue/portable-skills.test.ts	38	discovered
pptx-generator	packages/opencode/test/xiaoxue/portable-skills.test.ts	39	discovered
prompt-engineering-expert	packages/opencode/test/xiaoxue/portable-skills.test.ts	40	discovered
tencent-esign-contract	packages/opencode/test/xiaoxue/portable-skills.test.ts	41	discovered
tencent-meeting-skill	packages/opencode/test/xiaoxue/portable-skills.test.ts	42	discovered
tencentcloud-ocr	packages/opencode/test/xiaoxue/portable-skills.test.ts	43	discovered
tender-management	packages/opencode/test/xiaoxue/portable-skills.test.ts	44	discovered
tutor-skills	packages/opencode/test/xiaoxue/portable-skills.test.ts	45	discovered
web-access	packages/opencode/test/xiaoxue/portable-skills.test.ts	46	discovered
wpscli	packages/opencode/test/xiaoxue/portable-skills.test.ts	47	discovered
yourself-skill	packages/opencode/test/xiaoxue/portable-skills.test.ts	48	discovered
office-assistant	packages/opencode/test/agent/xiaoxue-router.test.ts	35	discovered
document-review-tracked	packages/opencode/test/agent/xiaoxue-router.test.ts	36	discovered
llm-wiki-knowledge	packages/opencode/test/agent/xiaoxue-router.test.ts	37	discovered
tencent-meeting-skill	packages/opencode/test/agent/xiaoxue-router.test.ts	38	discovered
office-assistant	packages/opencode/test/agent/xiaoxue-router.test.ts	41	discovered
openai-whisper-api	packages/opencode/test/agent/xiaoxue-router.test.ts	42	discovered
起草合同	packages/opencode/test/agent/xiaoxue-router.test.ts	43	discovered
tencent-esign-contract	packages/opencode/test/agent/xiaoxue-router.test.ts	44	discovered
tender-management	packages/opencode/test/agent/xiaoxue-router.test.ts	45	discovered
wpscli	packages/opencode/test/agent/xiaoxue-router.test.ts	46	discovered
pdfkit-py	packages/opencode/test/agent/xiaoxue-router.test.ts	47	discovered
tencentcloud-ocr	packages/opencode/test/agent/xiaoxue-router.test.ts	48	discovered
minimax-docx	packages/opencode/test/agent/xiaoxue-router.test.ts	49	discovered
minimax-xlsx	packages/opencode/test/agent/xiaoxue-router.test.ts	50	discovered
pptx-generator	packages/opencode/test/agent/xiaoxue-router.test.ts	51	discovered
aihot	packages/opencode/test/agent/xiaoxue-router.test.ts	52	discovered
deep-research	packages/opencode/test/agent/xiaoxue-router.test.ts	53	discovered
darwin-skill	packages/opencode/test/agent/xiaoxue-router.test.ts	54	discovered
fullstack-dev	packages/opencode/test/agent/xiaoxue-router.test.ts	55	discovered
github	packages/opencode/test/agent/xiaoxue-router.test.ts	56	discovered
github-trending-cn	packages/opencode/test/agent/xiaoxue-router.test.ts	57	discovered
github-trending-cn	packages/opencode/test/agent/xiaoxue-router.test.ts	58	discovered
browser-use	packages/opencode/test/agent/xiaoxue-router.test.ts	59	discovered
web-access	packages/opencode/test/agent/xiaoxue-router.test.ts	60	discovered
prompt-engineering-expert	packages/opencode/test/agent/xiaoxue-router.test.ts	61	discovered
yourself-skill	packages/opencode/test/agent/xiaoxue-router.test.ts	62	discovered
obsidian	packages/opencode/test/agent/xiaoxue-router.test.ts	63	discovered
tutor-skills	packages/opencode/test/agent/xiaoxue-router.test.ts	64	discovered
image-well	packages/opencode/test/agent/xiaoxue-router.test.ts	65	discovered
nano-banana-pro	packages/opencode/test/agent/xiaoxue-router.test.ts	66	discovered
markitdown-skill	packages/opencode/test/agent/xiaoxue-router.test.ts	67	discovered
material-organizer	packages/opencode/test/agent/xiaoxue-router.test.ts	68	discovered
office-assistant	packages/opencode/test/agent/xiaoxue-router.test.ts	71	discovered
autoresearch	packages/opencode/test/agent/xiaoxue-router.test.ts	72	discovered
llm-wiki-knowledge	packages/opencode/test/agent/xiaoxue-router.test.ts	73	discovered
geolog-logging-review	packages/opencode/test/agent/xiaoxue-router.test.ts	74	discovered
geolog-logging-review	packages/opencode/test/agent/xiaoxue-router.test.ts	75	discovered
office-assistant	packages/opencode/test/agent/xiaoxue-router.test.ts	80	discovered
office-assistant	packages/opencode/test/agent/xiaoxue-router.test.ts	81	discovered
office-assistant	packages/opencode/test/agent/xiaoxue-router.test.ts	82	discovered
# referenced_count	248		
# missing_count	0		
# discovered_count	77		
# orphaned_discovered_skills	NDA快筛,cognitive-profile,customize-opencode,effect,experiment-design,giiisp-paper-search-apis,knowledge-distill,manim-agent,mcp-criticagent,minimax-pdf,papercheck,practical-course-producer,research-baseline-builder,sci-employee-deep-research,skill-criticagent,supervision-case-collector,supervision-doc-check,supervision-issue-report,supervision-photo-check,supervision-standard-lookup,tender-bid-generation,well-control-risk-assessment,信息化建设工具箱,写报告,合同对比,合规性检查,技术选型评审,方案框架,条款经济影响评估,标杆对比,桌面调研,法条速查,石油行业合同知识库,立项报告,谈判备忘整理,项目周报,领导汇报		
