skill_name	display_name	source	location	enabled_xiaoxue	enabled_office	enabled_report	enabled_tender	enabled_contract	enabled_knowledge	enabled_document	health	encoding	business_domain	primary_task	trigger_summary	not_trigger_summary	tools_used	knowledge_dependencies	skill_dependencies	overlap_with	trigger_conflict_with	unique_capability	business_frequency	business_criticality	uniqueness	maintenance_cost	priority_score	recommended_level	recommended_action	reason	merge_into
document-review-tracked	留痕文档审稿	.opencode/skills/document-review-tracked	SKILL.md	allow	deny	allow	deny	allow	deny	allow	OK	utf8	办公	留痕审稿	留痕批注/修订痕迹/接受或拒绝修改（DOCX）	不替代合同/地质专业审核	read, bash, python	-	-	office-assistant 润色任务	-	Word 原位批注注入（执行工具支持时）	2	3	5	4	3.25	L2	KEEP_OPTIONAL	专业场景，但报告/合同/标书场景下使用频率不高	-
autoresearch	Autoresearch	.opencode/skills/autoresearch	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	办公	内容优化	Karpathy 风格 50+ 变体优化 + 5-专家打分	非办公写作主路径	read, write, bash, python	-	-	humanizer	-	营销/落地页/A/B 文案优化	1	1	5	3	2.3	L4	DISABLE_ARCHIVE	录井小雪目标用户无落地页/营销场景；触发频率几乎为零	-
humanizer	AI 文本人性化	.opencode/skills/humanizer	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	办公	去 AI 味	Remove signs of AI-generated writing from text	非内容优化主路径	read, write	-	-	office-assistant 润色任务	-	去 AI 化润色	2	2	5	2	2.55	L3	MERGE	office-assistant 已包含 Word 材料润色任务模板；humanizer 作为去 AI 味子流程可被吸收	office-assistant
image-well	图片检索	.opencode/skills/image-well	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	办公	图片检索	12 API 并行检索图片（Openverse/Pexels/Pixabay/NASA/Unsplash...）	非图片生成	bash, webfetch	-	-	nano-banana-pro（生成侧）	-	开源图片并行检索+授权筛选	2	2	4	3	2.55	L4	DISABLE_ARCHIVE	录井场景对通用图片检索需求极低；触发几乎为零	-
nano-banana-pro	图像生成	.opencode/skills/nano-banana-pro	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	办公	图像生成	生成/编辑图像（Gemini 3 Pro Image）	非检索/办公写作	bash, python	-	-	image-well（不同方向）	-	AI 图像生成	1	1	5	3	2.3	L4	DISABLE_ARCHIVE	录井场景几乎不用图像生成；外部 API 调用增加治理负担	-
pptx-generator	PPT 生成	.opencode/skills/pptx-generator	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	办公	PPT 生成	1 风格 / 配色 / 图标 / 表格 / 时间线 / JSON 驱动 PPTX	非 Word/Excel 生成	minimax-docx 套件类似	-	-	office-assistant 的演示类需求	-	PPT 专用生成	3	3	3	3	3.0	L2	KEEP_OPTIONAL	实际有真实场景；建议保留为可选 Foundation	-
prompt-engineering-expert	Prompt Engineering Expert	.opencode/skills/prompt-engineering-expert	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	办公	提示工程	Advanced expert in prompt engineering	非办公写作	read, write	-	-	-	-	提示工程方法论	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	录井业务用户不需要提示工程；属于开发者向 Skill	-
yourself-skill	数字孪生	.opencode/skills/yourself-skill	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	个人	数字孪生	Distill yourself into an AI Skill	非办公/业务	read, write	-	-	-	-	个人数字孪生	1	1	5	2	2.15	L4	DISABLE_ARCHIVE	与录井业务无关；属于消费类 Skill	-
cognitive-profile	用户画像	.opencode/skills/cognitive-profile	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	个人	用户画像	在对话里形成可修正的用户画像	非业务/办公	read, write	xiaoxue_memory	-	-	-	用户偏好持久化	1	1	5	2	2.15	L4	DISABLE_ARCHIVE	小雪已经有 xiaoxue_memory 工具；冗余	-
aihot	AI 资讯	.opencode/skills/aihot	SKILL.md	allow	deny	deny	deny	deny	deny	deny	OK	utf8	知识/资讯	AI 资讯查询	中文 AI 资讯查询（aihot.virxact.com）	非通用搜索	bash, curl	-	-	deep-research（通用）	-	AI 行业资讯每日简报	2	2	5	2	2.7	L2	KEEP_OPTIONAL	录井用户对 AI 行业动态兴趣低；建议作为可选子能力	-
deep-research	深度研究	.opencode/skills/deep-research	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	知识/研究	深度研究	Structured deep research workflow with human-in-the-loop	非简单问答	webfetch, websearch, bash	-	-	sci-employee-deep-research	sci-employee-deep-research	深度调研 / 学术研究 / 市场分析 / 尽职调查	2	3	5	3	3.15	L2	KEEP_OPTIONAL	知识 Agent 主入口之一；保留	-
sci-employee-deep-research	科研深度研究	.opencode/skills/sci-employee-deep-research	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	科研	科研深度研究	调用 Deep Research 流程生成可校验科研报告	非企业调研	webfetch, bash	-	-	deep-research	deep-research	科研场景专业版	1	1	3	3	1.85	L4	DISABLE_ARCHIVE	与 deep-research 重复 80%+；录井用户极少科研场景	-
github	GitHub CLI	.opencode/skills/github	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	知识/开发者	GitHub CLI	Interact with GitHub using gh CLI	非代码编辑	bash	-	-	-	-	GitHub 通用 CLI 入口	1	1	5	2	2.15	L4	DISABLE_ARCHIVE	录井业务用户不用 GitHub CLI	-
github-ai-trends	GitHub AI Trends	.opencode/skills/github-ai-trends	_skillhub_meta.json（无 SKILL.md）	allow（僵尸）	deny	deny	deny	deny	deny	deny	ZOMBIE	n/a	知识/资讯	GitHub AI 趋势（仅元数据）	AI 主题仓库排行（仅 marketplace 元数据）	非 GitHub 通用 CLI	bash, curl	GITHUB_TOKEN	-	github-trending-cn	-	仅有 _skillhub_meta.json，无 SKILL.md	1	1	4	2	1.9	L4	DISABLE_ARCHIVE	允许列表引用但本地无 SKILL.md；建议从 skills.yaml / agent.ts 中移除该条目后再清理目录	-
github-trending-cn	GitHub Trending	.opencode/skills/github-trending-cn	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	知识/资讯	GitHub Trending	GitHub Trending repos by daily/weekly/monthly period	非项目深度分析	bash, curl	GITHUB_TOKEN	-	github-ai-trends	-	趋势检索	1	1	4	2	1.9	L4	DISABLE_ARCHIVE	录井业务用户极少使用	-
giiisp-paper-search-apis	论文检索 API	.opencode/skills/giiisp-paper-search-apis	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	科研	论文检索	Giiisp/arXiv/OA 摘要搜索	非企业调研	bash, curl	-	-	-	-	学术论文检索	1	1	5	3	2.3	L4	DISABLE_ARCHIVE	科研场景，录井业务用户极少使用	-
fullstack-dev	Full-stack Dev	.opencode/skills/fullstack-dev	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	开发者	Full-stack Dev	Full-stack backend architecture and frontend-backend integration guide	非纯前端/纯 CSS	db, schema, code generation	-	-	-	-	全栈架构指南	1	1	5	2	2.15	L4	DISABLE_ARCHIVE	录井业务用户不是开发者；冗余	-
darwin-skill	Darwin Skill Optimizer	.opencode/skills/darwin-skill	SKILL.md	allow	deny	deny	deny	deny	deny	deny	OK	utf8	开发者	Skill 优化	达尔文：自动优化 SKILL.md	非业务 Skill	read, write, git	-	-	autoresearch（不同方向）	-	Skill 自优化	1	1	5	2	2.15	L4	DISABLE_ARCHIVE	元工具，仅开发者使用	-
skill-criticagent	Skill Critic Agent	.opencode/skills/skill-criticagent	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	开发者	Skill 评估	Evaluate Agent Skills (SKILL.md directories)	非业务 Skill	read, write, bash, python	-	-	darwin-skill	-	Skill 质量评估	1	1	5	2	2.15	L4	DISABLE_ARCHIVE	元工具，仅开发者使用	-
mcp-criticagent	MCP Critic Agent	.opencode/skills/mcp-criticagent	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	开发者	MCP 评估	Evaluate MCP servers and tools end to end	非业务 MCP	bash, python	-	-	-	-	MCP 评估	1	1	5	2	2.15	L4	DISABLE_ARCHIVE	元工具，仅开发者使用	-
effect	Effect v4	.opencode/skills/effect	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	开发者	Effect v4 指南	Work with Effect v4 / effect-smol TypeScript code	非业务代码	read, write	-	-	-	-	Effect 框架指南	1	1	5	1	2.05	L4	DISABLE_ARCHIVE	OpenCode 上游仓库残留 Skill，与录井业务无关	-
experiment-design	实验设计	.opencode/skills/experiment-design	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	科研	实验设计	实验设计（因子设计/方差分析/重复测量等）	非生产数据分析	bash, python	-	-	research-baseline-builder	-	实验设计指南	1	1	4	2	1.95	L4	DISABLE_ARCHIVE	OpenCode 上游仓库残留，与录井业务无关	-
research-baseline-builder	Research Baseline	.opencode/skills/research-baseline-builder	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	科研	研究基线	Translate scientific questions into clear data inputs/outputs/baseline workflows	非企业数据分析	bash, python	-	-	-	-	科研基线	1	1	4	2	1.95	L4	DISABLE_ARCHIVE	科研场景，录井业务用户极少使用	-
papercheck	PaperCheck	.opencode/skills/papercheck	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	科研	论文引用合规	Run no-key citation audits for academic papers	非企业文档审核	bash, python	-	-	-	-	论文引用合规	1	1	5	3	2.3	L4	DISABLE_ARCHIVE	科研场景，录井业务用户极少使用	-
manim-agent	Manim Agent	.opencode/skills/manim-agent	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	教育	数学动画	Create, run, review, debug, package Manim Agent workflows	非业务/办公	bash, python	-	-	practical-course-producer	-	数学/技术可视化动画	1	1	5	3	2.3	L4	DISABLE_ARCHIVE	录井业务用户极少使用；属于科研/教学	-
practical-course-producer	Practical Course Producer	.opencode/skills/practical-course-producer	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	教育	实操课程	Generate and audit evidence-based practical course videos	非业务	bash, python	-	-	manim-agent	-	实操课程视频生成	1	1	5	3	2.3	L4	DISABLE_ARCHIVE	录井业务用户极少使用	-
tutor-skills	Obsidian StudyVault	.opencode/skills/tutor-skills	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	教育	学习笔记	Turn PDFs, docs, and codebases into Obsidian StudyVaults	非业务/办公	read, write	-	-	llm-wiki-knowledge	-	Obsidian 学习笔记	1	1	4	3	2.1	L4	DISABLE_ARCHIVE	录井业务用户极少使用；与 llm-wiki-knowledge 重叠	-
llm-wiki	LLM Wiki	.opencode/skills/llm-wiki	_skillhub_meta.json（无 SKILL.md）	allow（僵尸）	deny	deny	deny	deny	allow	deny	ZOMBIE	n/a	知识	Wiki（仅元数据）	仅 marketplace 元数据，无实际 SKILL.md	非蒸馏/查询	-	-	-	llm-wiki-knowledge	-	仅有 _skillhub_meta.json	1	1	3	3	1.95	L4	DISABLE_ARCHIVE	允许列表引用但本地无 SKILL.md；建议从 skills.yaml / agent.ts 中移除该条目后再清理目录	llm-wiki-knowledge
llm-wiki-knowledge	LLM Wiki Knowledge	.opencode/skills/llm-wiki-knowledge	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	知识	Wiki 管理	Wiki 初始化/灌入/健康巡检/双向链接	非问答查询	xiaoxue_obsidian_search, xiaoxue_obsidian_read, xiaoxue_obsidian_archive	knowledge/templates	-	knowledge-distill（边界清晰）, llm-wiki	-	Wiki 维护唯一入口	2	3	5	3	3.25	L1	KEEP_OPTIONAL	知识 Agent 主入口之一；保留	-
knowledge-distill	知识蒸馏	.opencode/skills/knowledge-distill	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	知识	知识生产	Convert authorized Word/PDF/Excel/standards/rules/reports into evidence-preserving knowledge cards	非查询/普通办公	knowledge_manage, xiaoxue_obsidian_archive	knowledge/templates	-	llm-wiki-knowledge（边界清晰）, knowledge_manage	-	evidence-preserving 知识卡片生产	2	3	5	3	3.25	L1	KEEP_OPTIONAL	核心知识生产底座，但当前未在小雪主入口 allow（需评估是否启用）	-
openai-whisper-api	Whisper	.opencode/skills/openai-whisper-api	SKILL.md	allow	allow	deny	deny	deny	allow	deny	OK	utf8	基础能力	语音转写	Transcribe audio via OpenAI Whisper	非会议纪要生成	bash, curl	OPENAI_API_KEY	-	tencent-meeting-skill（中文场景）	-	语音转写外部服务	3	3	4	2	3.05	FOUNDATION	FOUNDATION	作为语音转写底座，被 meeting-minutes-manager 等复用	-
markitdown-skill	MarkItDown	.opencode/skills/markitdown-skill	SKILL.md	allow	deny	allow	allow	allow	deny	allow	OK	utf8	基础能力	文档转 Markdown	Convert documents to Markdown using Microsoft's MarkItDown CLI	非文档生成/审核	bash, markitdown CLI	-	-	-	-	多格式→Markdown 转换	4	4	3	2	3.45	FOUNDATION	FOUNDATION	几乎所有业务 Skill 复用的解析底座	-
minimax-docx	Minimax DOCX	.opencode/skills/minimax-docx	SKILL.md	allow	deny	deny	deny	deny	deny	allow	OK	utf8	基础能力	DOCX 生成	DOCX document creation/editing/formatting using OpenXML SDK	非解析/审核	minimax-docx CLI	-	-	office-assistant DOCX 导出	-	DOCX 创建/编辑专业管线	3	4	3	3	3.4	FOUNDATION	FOUNDATION	被 office-assistant / document Agent 复用的 DOCX 底座	-
minimax-xlsx	Minimax XLSX	.opencode/skills/minimax-xlsx	SKILL.md	allow	deny	deny	deny	deny	deny	allow	OK	utf8	基础能力	XLSX 处理	Open, create, read, analyze, edit, validate Excel/spreadsheet files	非解析/审核	minimax-xlsx CLI	-	-	office-assistant Excel 汇总	-	XLSX 完整生命周期	3	3	3	3	3.0	FOUNDATION	FOUNDATION	Excel 任务底层支撑	-
minimax-pdf	Minimax PDF	.opencode/skills/minimax-pdf	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	基础能力	PDF 生成	PDF 生成（设计感强）	非解析/合并/拆分	minimax-pdf CLI	-	-	-	-	设计级 PDF 生成	1	2	5	3	2.55	L4	DISABLE_ARCHIVE	录井场景对设计级 PDF 生成需求极低	-
pdfkit-py	PDF 处理	.opencode/skills/pdfkit-py	SKILL.md	allow	deny	allow	allow	allow	deny	allow	OK	utf8	基础能力	PDF 处理	处理现有 PDF（读/合并/拆分/加密/OCR/表单）	非 DOCX/XLSX 等非 PDF 文件	bash, python	-	-	-	-	PDF 全功能处理	4	4	3	2	3.45	FOUNDATION	FOUNDATION	PDF 解析/处理底座，被多个业务 Agent 复用	-
wpscli	WPS CLI	.opencode/skills/wpscli	SKILL.md	allow	deny	deny	deny	deny	deny	allow	OK	utf8	基础能力	格式转换	wpscli 云端处理 PDF/Office/CAD/图片	非业务 Skill	bash, wpscli CLI	WPS_API	-	pdfkit-py（部分重叠）	-	云端格式转换	2	2	4	3	2.7	FOUNDATION	FOUNDATION	云端转换底座（注意：依赖外部 API）	-
tencentcloud-ocr	腾讯云 OCR	.opencode/skills/tencentcloud-ocr	SKILL.md	allow	deny	allow	allow	allow	deny	allow	OK	utf8	基础能力	OCR	腾讯云通用文字识别（高精度版）	非文本生成	bash, curl, tencentcloud SDK	TENCENTCLOUD_SECRET	-	-	-	高准确率 OCR	3	3	4	2	3.1	FOUNDATION	FOUNDATION	OCR 底座	-
tencent-meeting-skill	腾讯会议	.opencode/skills/tencent-meeting-skill	SKILL.md	allow	allow	deny	deny	deny	deny	deny	OK	utf8	基础能力	腾讯会议	腾讯会议管理与音视频协作助手	非通用会议纪要	tencent-meeting SDK	TENCENT_MEETING_TOKEN	-	meeting-minutes-manager	meeting-minutes-manager	腾讯会议服务封装	2	2	4	3	2.7	L2	KEEP_OPTIONAL	仅在企业接入腾讯会议时使用；可作为可选外部服务	-
web-access	Web Access	.opencode/skills/web-access	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	基础能力	联网	所有联网操作必须通过该 Skill	非离线任务	bash, curl	-	-	browser-use	-	联网底座	2	2	3	2	2.25	FOUNDATION	FOUNDATION	联网底座，被 deep-research / browser-use 复用	-
browser-use	Browser Use	.opencode/skills/browser-use	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	基础能力	浏览器自动化	Automates browser interactions for web testing, form filling, screenshots	非简单搜索	bash, browser-use CLI	-	-	web-access	web-access	浏览器自动化	2	2	3	2	2.25	FOUNDATION	FOUNDATION	浏览器自动化底座	-
obsidian	Obsidian CLI	.opencode/skills/obsidian	SKILL.md	allow	deny	deny	deny	deny	allow	deny	OK	utf8	基础能力	Obsidian	Work with Obsidian vaults and automate via obsidian-cli	非 Wiki 业务	bash, obsidian CLI	-	-	llm-wiki-knowledge	-	Obsidian 操作	2	2	3	2	2.25	FOUNDATION	FOUNDATION	Obsidian 底座，被 llm-wiki-knowledge 复用	-
supervision-case-collector	监督案例库	.opencode/skills/supervision-case-collector	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	监督	案例库	监督检查案例入库与检索	非案例生成	read, write	knowledge/inspection_cases	supervision-standard-lookup, supervision-photo-check	-	-	监督检查案例库	1	2	5	2	2.4	L3	MERGE	5 个监督类 Skill 应整合为 1 个 canonical（建议保留为 L1 但合并）	supervision-case-collector
supervision-doc-check	监督文档核查	.opencode/skills/supervision-doc-check	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	监督	文档核查	地质交底/录井策划等格式固定文档核查	非案例库检索	read	knowledge/templates	-	geolog-logging-review（边界不同）	-	格式固定文档核查	2	3	4	2	2.8	L3	MERGE	与 geolog-logging-review 边界部分重叠；建议作为 geolog-logging-review 的子能力	geolog-logging-review
supervision-photo-check	监督照片检查	.opencode/skills/supervision-photo-check	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	监督	照片检查	现场检查照片对照检查	非案例检索	read, tencentcloud-ocr	-	-	-	-	照片合规检查	1	2	4	2	2.2	L2	KEEP_OPTIONAL	独立价值，但当前未启用	-
